Reading Time,virtual_rate
2025-03-01 00:00:00,400.6666666666667
2025-03-01 00:30:00,397.0
2025-03-01 01:00:00,397.0
2025-03-01 01:30:00,404.3333333333333
2025-03-01 02:00:00,408.0
2025-03-01 02:30:00,404.3333333333333
2025-03-01 03:00:00,397.0
2025-03-01 03:30:00,397.0
2025-03-01 04:00:00,404.3333333333333
2025-03-01 04:30:00,404.3333333333333
2025-03-01 05:00:00,400.6666666666667
2025-03-01 05:30:00,386.6666666666667
2025-03-01 06:00:00,366.0
2025-03-01 06:30:00,408.0
2025-03-01 07:00:00,408.0
2025-03-01 07:30:00,404.3333333333333
2025-03-01 08:00:00,397.0
2025-03-01 08:30:00,397.0
2025-03-01 09:00:00,397.0
2025-03-01 09:30:00,408.0
2025-03-01 10:00:00,400.6666666666667
2025-03-01 10:30:00,397.0
2025-03-01 11:00:00,386.6666666666667
2025-03-01 11:30:00,408.0
2025-03-01 12:00:00,408.0
2025-03-01 12:30:00,344.9905303030303
2025-03-01 13:00:00,281.9810606060606
2025-03-01 13:30:00,330.1886363636364
2025-03-01 14:00:00,397.0
2025-03-01 14:30:00,400.6666666666667
2025-03-01 15:00:00,408.0
2025-03-01 15:30:00,404.3333333333333
2025-03-01 16:00:00,397.0
2025-03-01 16:30:00,397.0
2025-03-01 17:00:00,408.0
2025-03-01 17:30:00,408.0
2025-03-01 18:00:00,380.0
2025-03-01 18:30:00,386.6666666666667
2025-03-01 19:00:00,397.0
2025-03-01 19:30:00,400.6666666666667
2025-03-01 20:00:00,397.0
2025-03-01 20:30:00,397.0
2025-03-01 21:00:00,408.0
2025-03-01 21:30:00,408.0
2025-03-01 22:00:00,380.0
2025-03-01 22:30:00,397.0
2025-03-01 23:00:00,400.6666666666667
2025-03-01 23:30:00,397.0
2025-03-02 00:00:00,397.0
2025-03-02 00:30:00,397.0
2025-03-02 01:00:00,366.0
2025-03-02 01:30:00,408.0
2025-03-02 02:00:00,408.0
2025-03-02 02:30:00,394.0
2025-03-02 03:00:00,386.6666666666667
2025-03-02 03:30:00,397.0
2025-03-02 04:00:00,397.0
2025-03-02 04:30:00,400.6666666666667
2025-03-02 05:00:00,386.6666666666667
2025-03-02 05:30:00,376.3333333333333
2025-03-02 06:00:00,397.7272727272727
2025-03-02 06:30:00,397.0
2025-03-02 07:00:00,404.3333333333333
2025-03-02 07:30:00,397.0
2025-03-02 08:00:00,400.6666666666667
2025-03-02 08:30:00,397.0
2025-03-02 09:00:00,397.0
2025-03-02 09:30:00,397.0
2025-03-02 10:00:00,397.0
2025-03-02 10:30:00,397.3636363636363
2025-03-02 11:00:00,408.0
2025-03-02 11:30:00,408.0
2025-03-02 12:00:00,397.5
2025-03-02 12:30:00,386.6666666666667
2025-03-02 13:00:00,397.0
2025-03-02 13:30:00,397.0
2025-03-02 14:00:00,397.0
2025-03-02 14:30:00,397.0
2025-03-02 15:00:00,397.0
2025-03-02 15:30:00,397.0
2025-03-02 16:00:00,404.3333333333333
2025-03-02 16:30:00,408.0
2025-03-02 17:00:00,397.5
2025-03-02 17:30:00,386.6666666666667
2025-03-02 18:00:00,404.3333333333333
2025-03-02 18:30:00,408.0
2025-03-02 19:00:00,404.3333333333333
2025-03-02 19:30:00,400.6666666666667
2025-03-02 20:00:00,397.0
2025-03-02 20:30:00,397.0
2025-03-02 21:00:00,397.3636363636363
2025-03-02 21:30:00,408.0
2025-03-02 22:00:00,394.0
2025-03-02 22:30:00,397.0
2025-03-02 23:00:00,397.0
2025-03-02 23:30:00,397.0
2025-03-03 00:00:00,400.6666666666667
2025-03-03 00:30:00,400.6666666666667
2025-03-03 01:00:00,376.3333333333333
2025-03-03 01:30:00,397.5
2025-03-03 02:00:00,408.0
2025-03-03 02:30:00,408.0
2025-03-03 03:00:00,397.5
2025-03-03 03:30:00,397.0
2025-03-03 04:00:00,397.0
2025-03-03 04:30:00,400.6666666666667
2025-03-03 05:00:00,397.0
2025-03-03 05:30:00,397.0
2025-03-03 06:00:00,397.0
2025-03-03 06:30:00,400.6666666666667
2025-03-03 07:00:00,397.0
2025-03-03 07:30:00,397.0
2025-03-03 08:00:00,397.0
2025-03-03 08:30:00,397.0
2025-03-03 09:00:00,397.0
2025-03-03 09:30:00,397.0
2025-03-03 10:00:00,397.0
2025-03-03 10:30:00,397.0
2025-03-03 11:00:00,397.0
2025-03-03 11:30:00,403.6
2025-03-03 12:00:00,404.3333333333333
2025-03-03 12:30:00,408.0
2025-03-03 13:00:00,400.6666666666667
2025-03-03 13:30:00,397.0
2025-03-03 14:00:00,397.0
2025-03-03 14:30:00,397.0
2025-03-03 15:00:00,397.0
2025-03-03 15:30:00,397.0
2025-03-03 16:00:00,386.6666666666667
2025-03-03 16:30:00,404.6969696969697
2025-03-03 17:00:00,408.0
2025-03-03 17:30:00,397.5
2025-03-03 18:00:00,386.6666666666667
2025-03-03 18:30:00,397.0
2025-03-03 19:00:00,397.0
2025-03-03 19:30:00,397.0
2025-03-03 20:00:00,397.0
2025-03-03 20:30:00,397.0
2025-03-03 21:00:00,400.6666666666667
2025-03-03 21:30:00,408.0
2025-03-03 22:00:00,408.0
2025-03-03 22:30:00,405.25
2025-03-03 23:00:00,397.0
2025-03-03 23:30:00,397.0
2025-03-04 00:00:00,397.0
2025-03-04 00:30:00,400.6666666666667
2025-03-04 01:00:00,397.0
2025-03-04 01:30:00,376.3333333333333
2025-03-04 02:00:00,387.0
2025-03-04 02:30:00,408.0
2025-03-04 03:00:00,408.0
2025-03-04 03:30:00,387.0
2025-03-04 04:00:00,397.0
2025-03-04 04:30:00,400.6666666666667
2025-03-04 05:00:00,397.0
2025-03-04 05:30:00,397.0
2025-03-04 06:00:00,397.0
2025-03-04 06:30:00,397.0
2025-03-04 07:00:00,397.0
2025-03-04 07:30:00,404.3333333333333
2025-03-04 08:00:00,404.3333333333333
2025-03-04 08:30:00,397.0
2025-03-04 09:00:00,397.0
2025-03-04 09:30:00,397.0
2025-03-04 10:00:00,397.0
2025-03-04 10:30:00,397.0
2025-03-04 11:00:00,397.0
2025-03-04 11:30:00,395.2
2025-03-04 12:00:00,404.3333333333333
2025-03-04 12:30:00,408.0
